song,plays,datetime,artist,album
The Life of a Showgirl (feat. Sabrina Carpenter),1,"11 Dec 2025, 14:10",Taylor Swift,The Life of a Showgirl
Honey,1,"11 Dec 2025, 14:06",Taylor Swift,The Life of a Showgirl
CANCELLED!,1,"11 Dec 2025, 14:03",Taylor Swift,The Life of a Showgirl
Wood,1,"11 Dec 2025, 14:00",Taylor Swift,The Life of a Showgirl
Wi$h Li$t,1,"11 Dec 2025, 13:25",Taylor Swift,The Life of a Showgirl
Actually Romantic,1,"11 Dec 2025, 13:22",Taylor Swift,The Life of a Showgirl
Ruin the Friendship,1,"11 Dec 2025, 13:18",Taylor Swift,The Life of a Showgirl
Eldest Daughter,1,"11 Dec 2025, 13:14",Taylor Swift,The Life of a Showgirl
Father Figure,1,"11 Dec 2025, 13:11",Taylor Swift,The Life of a Showgirl
Opalite,1,"11 Dec 2025, 13:02",Taylor Swift,The Life of a Showgirl
Elizabeth Taylor,1,"11 Dec 2025, 12:59",Taylor Swift,The Life of a Showgirl
The Fate of Ophelia,1,"11 Dec 2025, 12:55",Taylor Swift,The Life of a Showgirl
Ven,1,"11 Dec 2025, 05:27",Kudai,Sobrevive
D�jame Gritar,1,"11 Dec 2025, 05:24",Kudai,Sobrevive
Aún,1,"11 Dec 2025, 05:20",Kudai,Sobrevive
Llévame,1,"11 Dec 2025, 05:16",Kudai,Sobrevive
Talvez,1,"11 Dec 2025, 05:12",Kudai,Sobrevive
Lejos De La Ciudad,1,"11 Dec 2025, 05:08",Kudai,Vuelo
No Quiero Regresar,1,"11 Dec 2025, 05:05",Kudai,Vuelo
Ya Nada Queda,1,"11 Dec 2025, 05:01",Kudai,Vuelo
Sin Despertar,1,"11 Dec 2025, 04:58",Kudai,Vuelo
Escapar,1,"11 Dec 2025, 04:53",Kudai,Vuelo
Snowman (feat. Belinda),1,"11 Dec 2025, 04:50",Sia,Snowman
Snowman (Sped Up Version),1,"11 Dec 2025, 04:48",Sia,Everyday Is Christmas (Snowman Deluxe Edition)
Snowman (Slowed Down),1,"11 Dec 2025, 04:45",Sia,Everyday Is Christmas (Snowman Deluxe Edition)
Santa Visits Everyone,1,"11 Dec 2025, 04:32",Sia,Everyday Is Christmas (Snowman Deluxe Edition)
Pin Drop,1,"11 Dec 2025, 04:03",Sia,Everyday Is Christmas (Snowman Deluxe Edition)
My Old Santa Claus,1,"11 Dec 2025, 03:59",Sia,Everyday is Christmas (Deluxe Edition)
Sing for My Life,1,"11 Dec 2025, 03:55",Sia,Everyday is Christmas (Deluxe Edition)
Underneath the Christmas Lights,1,"11 Dec 2025, 03:52",Sia,Everyday is Christmas (Deluxe Edition)
Everyday Is Christmas,1,"11 Dec 2025, 03:48",Sia,Everyday is Christmas (Deluxe Edition)
Underneath the Mistletoe,1,"11 Dec 2025, 03:45",Sia,Everyday is Christmas (Deluxe Edition)
Sunshine,1,"11 Dec 2025, 03:41",Sia,Everyday is Christmas (Deluxe Edition)
Puppies Are Forever,1,"11 Dec 2025, 03:37",Sia,Everyday is Christmas (Deluxe Edition)
Ho Ho Ho,1,"11 Dec 2025, 03:34",Sia,Everyday is Christmas (Deluxe Edition)
Snowman,1,"11 Dec 2025, 03:31",Sia,Everyday is Christmas (Deluxe Edition)
Candy Cane Lane,1,"11 Dec 2025, 03:28",Sia,Everyday is Christmas (Deluxe Edition)
Santa's Coming for Us,1,"11 Dec 2025, 03:24",Sia,Everyday is Christmas (Deluxe Edition)
Catch My Breath,1,"11 Dec 2025, 03:21",Ava Max,Don't Click Play
World’s Smallest Violin,1,"11 Dec 2025, 03:19",Ava Max,Don't Click Play
Skin in the Game,1,"11 Dec 2025, 03:16",Ava Max,Don't Click Play
Fight for Me,1,"11 Dec 2025, 03:13",Ava Max,Don't Click Play
Lost Your Faith,1,"11 Dec 2025, 03:10",Ava Max,Don't Click Play
Know Somebody,1,"11 Dec 2025, 03:07",Ava Max,Don't Click Play
Take My Call,1,"11 Dec 2025, 03:04",Ava Max,Don't Click Play
"Wet, Hot American Dream",1,"11 Dec 2025, 03:01",Ava Max,Don't Click Play
Sucks to Be My Ex,1,"11 Dec 2025, 02:57",Ava Max,Don't Click Play
Lovin Myself,1,"11 Dec 2025, 02:53",Ava Max,Don't Click Play
How Can I Dance,1,"11 Dec 2025, 02:51",Ava Max,Don't Click Play
Don’t Click Play,1,"11 Dec 2025, 02:48",Ava Max,Don't Click Play
TIT FOR TAT,1,"11 Dec 2025, 02:45",Tate McRae,SO CLOSE TO WHAT??? (deluxe)
Horseshoe,1,"11 Dec 2025, 02:42",Tate McRae,SO CLOSE TO WHAT??? (deluxe)
NOBODY'S GIRL,1,"11 Dec 2025, 02:39",Tate McRae,SO CLOSE TO WHAT??? (deluxe)
Anything but love,1,"11 Dec 2025, 02:37",Tate McRae,SO CLOSE TO WHAT??? (deluxe)
Trying on shoes,1,"11 Dec 2025, 02:34",Tate McRae,SO CLOSE TO WHAT??? (deluxe)
YOUTH,1,"11 Dec 2025, 02:31",Troye Sivan,Blue Neighbourhood (Deluxe)
Love Me Like You Do,1,"11 Dec 2025, 02:27",Ellie Goulding,Fifty Shades Freed (Original Motion Picture Soundtrack)
Cheap Thrills (feat. Sean Paul),1,"11 Dec 2025, 02:23",Sia,This Is Acting (Deluxe Version)
One Call Away (feat. Tyga),1,"10 Dec 2025, 22:42",Charlie Puth,Nine Track Mind (Special Edition)
Bird Set Free,1,"10 Dec 2025, 22:37",Sia,This Is Acting
When Your Heart Stops Beating,1,"10 Dec 2025, 22:34",44,When Your Heart Stops Beating
Sorry,1,"10 Dec 2025, 22:31",Justin Bieber,Purpose
A Sky Full of Stars,1,"10 Dec 2025, 22:26",Coldplay,A Sky Full Of Stars
Nine in the Afternoon,1,"10 Dec 2025, 21:56",Panic! at the Disco,Pretty. Odd.
Worth It (feat. Kid Ink),1,"10 Dec 2025, 20:36",Fifth Harmony,Reflection (Deluxe)
Everybody (Backstreet's Back),1,"10 Dec 2025, 20:20",Backstreet Boys,Backstreet's Back
Something For Nothing,1,"10 Dec 2025, 20:12",Rationale,Something For Nothing
Runaway (U & I),1,"10 Dec 2025, 20:04",Galantis,Runaway (U & I)
Spaceman,1,"10 Dec 2025, 19:57",The Killers,Day  Age (Bonus Tracks)
Bones,1,"10 Dec 2025, 19:53",The Killers,Sam's Town
Sugar,1,"10 Dec 2025, 19:50",Maroon 5,V
Great DJ,1,"10 Dec 2025, 19:46",The Ting Tings,We Started Nothing
Right Round (feat. Ke$ha),1,"10 Dec 2025, 19:43",Flo Rida,R.O.O.T.S. (Route Of Overcoming The Struggle)
Time to Pretend,1,"10 Dec 2025, 19:38",MGMT,Oracular Spectacular
Shake It,1,"10 Dec 2025, 19:35",Metro Station,Metro Station
I Am A Child Of God/ I Have A Savior,1,"10 Dec 2025, 19:31",Ryan Maag,EFY: I am a Child of God/ I Have a Savior
The Scientist,1,"10 Dec 2025, 19:26",Coldplay,A Rush of Blood to the Head
Used to Love You,1,"10 Dec 2025, 19:22",Gwen Stefani,This Is What the Truth Feels Like
Centuries,1,"10 Dec 2025, 19:19",Fall Out Boy,American Beauty/American Psycho
Misery Business,1,"10 Dec 2025, 19:15",Paramore,RIOT!
TiK ToK,1,"10 Dec 2025, 19:12",Kesha,Animal (Expanded Edition)
Starstrukk (feat. Katy Perry),1,"10 Dec 2025, 19:08",3OH!3,Want (Deluxe)
E.T.,1,"10 Dec 2025, 19:05",Katy Perry,Teenage Dream: The Complete Confection
Papaoutai,1,"10 Dec 2025, 19:01",Stromae,Racine carrée
Radioactive,1,"10 Dec 2025, 18:58",Kings of Leon,Come Around Sundown (Expanded Edition)
Closer,1,"10 Dec 2025, 18:54",Kings of Leon,Only by the Night
All I Wanted,1,"10 Dec 2025, 18:50",Paramore,brand new eyes
All Fall Down,1,"10 Dec 2025, 18:42",OneRepublic,Dreaming Out Loud
En el Amor Hay Que Perdonar,1,"10 Dec 2025, 18:38",Belinda,Catarsis
A-Punk,1,"10 Dec 2025, 18:36",Vampire Weekend,Vampire Weekend
En la Obscuridad,1,"10 Dec 2025, 18:32",Belinda,Catarsis
Notion,1,"10 Dec 2025, 18:29",Kings of Leon,Only by the Night
Everybody's Changing,1,"10 Dec 2025, 18:26",Keane,Hopes and Fears
Beautiful Girls,1,"10 Dec 2025, 18:17",Sean Kingston,Sean Kingston
Shooting Star,1,"10 Dec 2025, 18:12",Owl City,The Midsummer Station
Extraordinaire,1,"10 Dec 2025, 18:08",Jidenna,Extraordinaire
Keep Your Hands Off My Girl,1,"10 Dec 2025, 18:05",Good Charlotte,Good Morning Revival
Fergalicious,1,"10 Dec 2025, 17:56",Fergie,The Dutchess
Fire Burning,1,"10 Dec 2025, 17:42",Sean Kingston,Tomorrow
Let the Flames Begin,1,"10 Dec 2025, 17:30",Paramore,RIOT!
Forever,1,"10 Dec 2025, 17:25",Chris Brown,Forever
"For a Pessimist, I'm Pretty Optimistic",1,"10 Dec 2025, 17:20",Paramore,RIOT!
Roar,1,"10 Dec 2025, 17:17",Katy Perry,PRISM
Shut Up and Let Me Go,1,"10 Dec 2025, 17:14",The Ting Tings,We Started Nothing
This Is Gospel,1,"10 Dec 2025, 17:11",Panic! at the Disco,"Too Weird to Live, Too Rare to Die!"
Harakiri,1,"10 Dec 2025, 17:07",Kudai,Harakiri
Karma,1,"10 Dec 2025, 17:04",Kudai,Karma
Dime Como Fue,1,"10 Dec 2025, 17:00",Kudai,Laberinto
Piensa,1,"10 Dec 2025, 16:57",Kudai,Laberinto
Lluvia de fuego,1,"10 Dec 2025, 16:54",Kudai,Laberinto
Cicatriz,1,"10 Dec 2025, 16:22",Kudai,Nadha
Morir De Amor,1,"10 Dec 2025, 16:18",Kudai,Nadha
Calendario,1,"10 Dec 2025, 16:14",Kudai,Nadha
Disfraz,1,"10 Dec 2025, 16:10",Kudai,Nadha
Abismo,1,"10 Dec 2025, 16:06",Kudai,Nadha
Nada Es Igual,1,"10 Dec 2025, 16:02",Kudai,Nadha
Lejos De Aqu�,1,"10 Dec 2025, 15:58",Kudai,Nadha
T�,1,"10 Dec 2025, 15:54",Kudai,Sobrevive
Ven,1,"10 Dec 2025, 15:50",Kudai,Sobrevive
D�jame Gritar,1,"10 Dec 2025, 15:46",Kudai,Sobrevive
Aún,1,"10 Dec 2025, 15:18",Kudai,Sobrevive
Llévame,1,"10 Dec 2025, 15:14",Kudai,Sobrevive
Talvez,1,"10 Dec 2025, 13:58",Kudai,Sobrevive
Lejos De La Ciudad,1,"10 Dec 2025, 13:54",Kudai,Vuelo
No Quiero Regresar,1,"10 Dec 2025, 13:51",Kudai,Vuelo
Ya Nada Queda,1,"10 Dec 2025, 13:47",Kudai,Vuelo
Sin Despertar,1,"10 Dec 2025, 13:44",Kudai,Vuelo
Escapar,1,"10 Dec 2025, 13:39",Kudai,Vuelo
Snowman (feat. Belinda),1,"10 Dec 2025, 13:36",Sia,Snowman
Snowman (Sped Up Version),1,"10 Dec 2025, 13:34",Sia,Everyday Is Christmas (Snowman Deluxe Edition)
Snowman (Slowed Down),1,"10 Dec 2025, 13:31",Sia,Everyday Is Christmas (Snowman Deluxe Edition)
Santa Visits Everyone,1,"10 Dec 2025, 13:27",Sia,Everyday Is Christmas (Snowman Deluxe Edition)
Pin Drop,1,"10 Dec 2025, 13:19",Sia,Everyday Is Christmas (Snowman Deluxe Edition)
My Old Santa Claus,1,"10 Dec 2025, 13:16",Sia,Everyday is Christmas (Deluxe Edition)
Sing for My Life,1,"10 Dec 2025, 13:12",Sia,Everyday is Christmas (Deluxe Edition)
Underneath the Christmas Lights,1,"10 Dec 2025, 13:08",Sia,Everyday is Christmas (Deluxe Edition)
Everyday Is Christmas,1,"10 Dec 2025, 13:05",Sia,Everyday is Christmas (Deluxe Edition)
Underneath the Mistletoe,1,"10 Dec 2025, 13:01",Sia,Everyday is Christmas (Deluxe Edition)
Sunshine,1,"10 Dec 2025, 12:58",Sia,Everyday is Christmas (Deluxe Edition)
Puppies Are Forever,1,"10 Dec 2025, 12:54",Sia,Everyday is Christmas (Deluxe Edition)
Ho Ho Ho,1,"10 Dec 2025, 12:50",Sia,Everyday is Christmas (Deluxe Edition)
Snowman,1,"10 Dec 2025, 12:48",Sia,Everyday is Christmas (Deluxe Edition)
Candy Cane Lane,1,"10 Dec 2025, 12:44",Sia,Everyday is Christmas (Deluxe Edition)
Santa's Coming for Us,1,"10 Dec 2025, 12:41",Sia,Everyday is Christmas (Deluxe Edition)
Catch My Breath,1,"10 Dec 2025, 12:38",Ava Max,Don't Click Play
World's Smallest Violin,1,"10 Dec 2025, 12:35",Ava Max,Don't Click Play
Skin in the Game,1,"10 Dec 2025, 12:32",Ava Max,Don't Click Play
Fight for Me,1,"10 Dec 2025, 12:30",Ava Max,Don't Click Play
Lost Your Faith,1,"10 Dec 2025, 12:26",Ava Max,Don't Click Play
Know Somebody,1,"10 Dec 2025, 12:23",Ava Max,Don't Click Play
Take My Call,1,"10 Dec 2025, 12:20",Ava Max,Don't Click Play
"Wet, Hot American Dream",1,"10 Dec 2025, 12:17",Ava Max,Don't Click Play
Sucks to Be My Ex,1,"10 Dec 2025, 12:14",Ava Max,Don't Click Play
Lovin Myself,1,"10 Dec 2025, 12:11",Ava Max,Don't Click Play
How Can I Dance,1,"10 Dec 2025, 12:08",Ava Max,Don't Click Play
Don't Click Play,1,"10 Dec 2025, 12:06",Ava Max,Don't Click Play
TIT FOR TAT,1,"10 Dec 2025, 12:03",Tate McRae,SO CLOSE TO WHAT??? (deluxe)
Horseshoe,1,"10 Dec 2025, 12:00",Tate McRae,SO CLOSE TO WHAT??? (deluxe)
NOBODY'S GIRL,1,"10 Dec 2025, 11:57",Tate McRae,SO CLOSE TO WHAT??? (deluxe)
Anything but love,1,"10 Dec 2025, 11:55",Tate McRae,SO CLOSE TO WHAT??? (deluxe)
Trying on shoes,1,"10 Dec 2025, 11:52",Tate McRae,SO CLOSE TO WHAT??? (deluxe)
YOUTH,1,"10 Dec 2025, 11:49",Troye Sivan,Blue Neighbourhood (Deluxe)
Love Me Like You Do,1,"10 Dec 2025, 11:44",Ellie Goulding,Fifty Shades Freed (Original Motion Picture Soundtrack)
Cheap Thrills (feat. Sean Paul),1,"10 Dec 2025, 11:41",Sia,This Is Acting (Deluxe Version)
One Call Away (feat. Tyga),1,"10 Dec 2025, 11:37",Charlie Puth,Nine Track Mind (Special Edition)
Bird Set Free,1,"10 Dec 2025, 11:33",Sia,This Is Acting
When Your Heart Stops Beating,1,"10 Dec 2025, 11:30",44,When Your Heart Stops Beating
Sorry,1,"10 Dec 2025, 11:27",Justin Bieber,Purpose
A Sky Full of Stars,1,"10 Dec 2025, 11:22",Coldplay,A Sky Full Of Stars
Nine in the Afternoon,1,"10 Dec 2025, 11:19",Panic! at the Disco,Pretty. Odd.
Worth It (feat. Kid Ink),1,"10 Dec 2025, 11:15",Fifth Harmony,Reflection (Deluxe)
Everybody (Backstreet's Back),1,"10 Dec 2025, 11:12",Backstreet Boys,Backstreet's Back
Something For Nothing,1,"10 Dec 2025, 11:08",Rationale,Something For Nothing
Runaway (U & I),1,"10 Dec 2025, 11:04",Galantis,Runaway (U & I)
Spaceman,1,"10 Dec 2025, 10:27",The Killers,Day  Age (Bonus Tracks)
Bones,1,"10 Dec 2025, 10:24",The Killers,Sam's Town
Sugar,1,"10 Dec 2025, 10:20",Maroon 5,V
Great DJ,1,"10 Dec 2025, 10:16",The Ting Tings,We Started Nothing
Right Round (feat. Ke$ha),1,"10 Dec 2025, 10:13",Flo Rida,R.O.O.T.S. (Route Of Overcoming The Struggle)
Time to Pretend,1,"10 Dec 2025, 10:09",MGMT,Oracular Spectacular
Shake It,1,"10 Dec 2025, 10:05",Metro Station,Metro Station
Trying on shoes,1,"10 Dec 2025, 10:03",Tate McRae,SO CLOSE TO WHAT??? (deluxe)
I Am A Child Of God/ I Have A Savior,1,"10 Dec 2025, 03:02",Ryan Maag,EFY: I am a Child of God/ I Have a Savior
The Scientist,1,"10 Dec 2025, 02:57",Coldplay,A Rush of Blood to the Head
Used to Love You,1,"10 Dec 2025, 02:53",Gwen Stefani,This Is What the Truth Feels Like
Centuries,1,"10 Dec 2025, 02:49",Fall Out Boy,American Beauty/American Psycho
Misery Business,1,"10 Dec 2025, 02:45",Paramore,RIOT!
TiK ToK,1,"10 Dec 2025, 02:42",Kesha,Animal (Expanded Edition)
Starstrukk (feat. Katy Perry),1,"10 Dec 2025, 02:39",3OH!3,Want (Deluxe)
E.T.,1,"10 Dec 2025, 02:35",Katy Perry,Teenage Dream: The Complete Confection
Papaoutai,1,"10 Dec 2025, 02:31",Stromae,Racine carrée
Radioactive,1,"10 Dec 2025, 02:28",Kings of Leon,Come Around Sundown (Expanded Edition)
Closer,1,"10 Dec 2025, 02:24",Kings of Leon,Only by the Night
All I Wanted,1,"10 Dec 2025, 02:20",Paramore,brand new eyes
All Fall Down,1,"10 Dec 2025, 02:16",OneRepublic,Dreaming Out Loud
En el Amor Hay Que Perdonar,1,"10 Dec 2025, 02:12",Belinda,Catarsis
A-Punk,1,"10 Dec 2025, 02:10",Vampire Weekend,Vampire Weekend
En la Obscuridad,1,"10 Dec 2025, 02:06",Belinda,Catarsis
Notion,1,"10 Dec 2025, 02:03",Kings of Leon,Only by the Night
Everybody's Changing,1,"10 Dec 2025, 02:00",Keane,Hopes and Fears
Beautiful Girls,1,"10 Dec 2025, 01:56",Sean Kingston,Sean Kingston
Shooting Star,1,"10 Dec 2025, 01:52",Owl City,The Midsummer Station
Extraordinaire,1,"10 Dec 2025, 01:48",Jidenna,Extraordinaire
Keep Your Hands Off My Girl,1,"10 Dec 2025, 01:45",Good Charlotte,Good Morning Revival
Fergalicious,1,"10 Dec 2025, 01:40",Fergie,The Dutchess
Fire Burning,1,"10 Dec 2025, 01:32",Sean Kingston,Tomorrow
Let the Flames Begin,1,"10 Dec 2025, 01:28",Paramore,RIOT!
Forever,1,"10 Dec 2025, 01:24",Chris Brown,Forever
"For a Pessimist, I'm Pretty Optimistic",1,"10 Dec 2025, 01:20",Paramore,RIOT!
Roar,1,"10 Dec 2025, 01:16",Katy Perry,PRISM
Shut Up and Let Me Go,1,"10 Dec 2025, 01:13",The Ting Tings,We Started Nothing
This Is Gospel,1,"10 Dec 2025, 01:10",Panic! at the Disco,"Too Weird to Live, Too Rare to Die!"
Opalite,1,"10 Dec 2025, 00:20",Taylor Swift,The Life of a Showgirl
OK,1,"10 Dec 2025, 00:18",Katy Perry,1432
hurt my feelings,1,"10 Dec 2025, 00:16",Tate McRae,THINK LATER
NO TEARS FOR NEW YEAR'S,1,"10 Dec 2025, 00:12",Katy Perry,1432
Sports car,1,"10 Dec 2025, 00:10",Tate McRae,So Close to What
Vanish Into You,1,"10 Dec 2025, 00:06",Lady Gaga,MAYHEM
The Fate of Ophelia,1,"10 Dec 2025, 00:02",Taylor Swift,The Life of a Showgirl
Abracadabra,1,"09 Dec 2025, 23:58",Lady Gaga,MAYHEM
cut my hair,1,"09 Dec 2025, 23:55",Tate McRae,THINK LATER
Revolving door,1,"09 Dec 2025, 23:52",Tate McRae,So Close to What
The Emptiness Machine,1,"09 Dec 2025, 23:47",Linkin Park,From Zero
WOMAN’S WORLD,1,"09 Dec 2025, 23:44",Katy Perry,143
Delicate,1,"09 Dec 2025, 23:40",Taylor Swift,reputation
Fortnight (feat. Post Malone),1,"09 Dec 2025, 23:36",Taylor Swift,THE TORTURED POETS DEPARTMENT
ALL THE LOVE,1,"09 Dec 2025, 23:33",Katy Perry,143
"I'M HIS, HE'S MINE (feat. Doechii)",1,"09 Dec 2025, 23:30",Katy Perry,143
CRUSH,1,"09 Dec 2025, 23:27",Katy Perry,143
LIFETIMES,1,"09 Dec 2025, 23:23",Katy Perry,143
Guilty as Sin?,1,"09 Dec 2025, 23:19",Taylor Swift,THE TORTURED POETS DEPARTMENT
Down Bad,1,"09 Dec 2025, 23:15",Taylor Swift,THE TORTURED POETS DEPARTMENT
At Your Worst,1,"09 Dec 2025, 23:12",Calum Scott,Avenoir
VOID,1,"09 Dec 2025, 23:08",Melanie Martinez,PORTALS
Sing for My Life,1,"09 Dec 2025, 23:04",Sia,Everyday is Christmas (Deluxe Edition)
Karma,1,"09 Dec 2025, 23:01",Taylor Swift,Midnights
Courage To Change,1,"09 Dec 2025, 22:56",Sia,Music (Songs From and Inspired By the Motion Picture)
Bejeweled,1,"09 Dec 2025, 22:53",Taylor Swift,Midnights
Gimme Love (Reasonable Woman Version),1,"09 Dec 2025, 22:49",Sia,Gimme Love (Reasonable Woman Version)
Wait,1,"09 Dec 2025, 22:43",M83,"Hurry Up, We're Dreaming"
Snowman,1,"09 Dec 2025, 22:41",Sia,Everyday is Christmas (Deluxe Edition)
Never Enough,1,"09 Dec 2025, 22:37",Loren Allred,The Greatest Showman (Original Motion Picture Soundtrack)
As It Was,1,"09 Dec 2025, 22:34",Harry Styles,As It Was
Don’t Delete the Kisses,1,"09 Dec 2025, 22:30",Wolf Alice,Visions of a Life
Ribs,1,"09 Dec 2025, 22:25",Lorde,Pure Heroine
girls,1,"09 Dec 2025, 22:22",girl in red,chapter 1
Want Me,1,"09 Dec 2025, 22:18",Baby Queen,Medicine
Clearest Blue,1,"09 Dec 2025, 22:14",CHVRCHES,Every Open Eye (10th Anniversary Special Edition)
Moment in the Sun,1,"09 Dec 2025, 22:11",Sunflower Bean,Moment In The Sun
Colours of You,1,"09 Dec 2025, 22:07",Baby Queen,Colours Of You
I Belong in Your Arms,1,"09 Dec 2025, 22:03",Chairlift,Something
Don’t Delete the Kisses,1,"09 Dec 2025, 21:59",Wolf Alice,Visions of a Life
Ribs,1,"09 Dec 2025, 21:54",Lorde,Pure Heroine
Colours of You,1,"09 Dec 2025, 21:50",Baby Queen,Colours Of You
Follow You,1,"09 Dec 2025, 21:26",Echosmith,Lonely Generation
good 4 u,1,"09 Dec 2025, 21:23",Olivia Rodrigo,SOUR
Get Into It (Yuh),1,"09 Dec 2025, 21:20",Doja Cat,Planet Her
Man On The Moon,1,"09 Dec 2025, 21:17",Alan Walker,World of Walker
Wrecked,1,"09 Dec 2025, 21:13",Imagine Dragons,Mercury - Acts 1  2
No Matter What,1,"09 Dec 2025, 21:09",Calum Scott,Only Human (Special Edition)
If Our Love Is Wrong,1,"09 Dec 2025, 21:06",Calum Scott,Only Human (Deluxe)
Beast,1,"09 Dec 2025, 21:03",David Archuleta,Beast
drivers license,1,"09 Dec 2025, 20:57",Olivia Rodrigo,SOUR
You Are the Reason,1,"09 Dec 2025, 20:54",Calum Scott,Only Human (Deluxe)
Walked In,1,"09 Dec 2025, 20:52",Ultradiox,Orichalcos
Wanted,1,"09 Dec 2025, 20:50",OneRepublic,Human (Deluxe)
Someone You Loved,1,"09 Dec 2025, 20:47",Lewis Capaldi,Divinely Uninspired to a Hellish Extent
Physical,1,"09 Dec 2025, 20:43",Dua Lipa,Future Nostalgia
"A Peaceful Place (Original Soundtrack) from ""The Legend Of Korra""",1,"09 Dec 2025, 20:43",Eliott Tordo,Erhu Anthology (Original Soundtrack)
"The Avatar's love (Original Soundtrack) from ""The Last Airbender""",1,"09 Dec 2025, 20:42",Eliott Tordo,Erhu Anthology (Original Soundtrack)
